dex,name,form,shadow,pvpoke_name,evo_ids,search_string
1,Bulbasaur,Normal,False,Bulbasaur,[1],1&!shadow
1,Bulbasaur,Normal,True,Bulbasaur (Shadow),[1],1&shadow
2,Ivysaur,Normal,False,Ivysaur,"[1, 2]","1,2&!shadow"
2,Ivysaur,Normal,True,Ivysaur (Shadow),"[1, 2]","1,2&shadow"
3,Venusaur,Normal,False,Venusaur,"[1, 2, 3]","1,2,3&!shadow"
3,Venusaur,Normal,True,Venusaur (Shadow),"[1, 2, 3]","1,2,3&shadow"
4,Charmander,Normal,False,Charmander,[4],4&!shadow
4,Charmander,Normal,True,Charmander (Shadow),[4],4&shadow
5,Charmeleon,Normal,False,Charmeleon,"[4, 5]","4,5&!shadow"
5,Charmeleon,Normal,True,Charmeleon (Shadow),"[4, 5]","4,5&shadow"
6,Charizard,Normal,False,Charizard,"[4, 5, 6]","4,5,6&!shadow"
6,Charizard,Normal,True,Charizard (Shadow),"[4, 5, 6]","4,5,6&shadow"
7,Squirtle,Normal,False,Squirtle,[7],7&!shadow
7,Squirtle,Normal,True,Squirtle (Shadow),[7],7&shadow
8,Wartortle,Normal,False,Wartortle,"[7, 8]","7,8&!shadow"
8,Wartortle,Normal,True,Wartortle (Shadow),"[7, 8]","7,8&shadow"
9,Blastoise,Normal,False,Blastoise,"[7, 8, 9]","7,8,9&!shadow"
9,Blastoise,Normal,True,Blastoise (Shadow),"[7, 8, 9]","7,8,9&shadow"
10,Caterpie,Normal,False,Caterpie,[10],10&!shadow
10,Caterpie,Normal,True,Caterpie (Shadow),[10],10&shadow
11,Metapod,Normal,False,Metapod,"[10, 11]","10,11&!shadow"
11,Metapod,Normal,True,Metapod (Shadow),"[10, 11]","10,11&shadow"
12,Butterfree,Normal,False,Butterfree,"[10, 11, 12]","10,11,12&!shadow"
12,Butterfree,Normal,True,Butterfree (Shadow),"[10, 11, 12]","10,11,12&shadow"
13,Weedle,Normal,False,Weedle,[13],13&!shadow
13,Weedle,Normal,True,Weedle (Shadow),[13],13&shadow
14,Kakuna,Normal,False,Kakuna,"[13, 14]","13,14&!shadow"
14,Kakuna,Normal,True,Kakuna (Shadow),"[13, 14]","13,14&shadow"
15,Beedrill,Normal,False,Beedrill,"[13, 14, 15]","13,14,15&!shadow"
15,Beedrill,Normal,True,Beedrill (Shadow),"[13, 14, 15]","13,14,15&shadow"
16,Pidgey,Normal,False,Pidgey,[16],16&!shadow
16,Pidgey,Normal,True,Pidgey (Shadow),[16],16&shadow
17,Pidgeotto,Normal,False,Pidgeotto,"[16, 17]","16,17&!shadow"
17,Pidgeotto,Normal,True,Pidgeotto (Shadow),"[16, 17]","16,17&shadow"
18,Pidgeot,Normal,False,Pidgeot,"[16, 17, 18]","16,17,18&!shadow"
18,Pidgeot,Normal,True,Pidgeot (Shadow),"[16, 17, 18]","16,17,18&shadow"
19,Rattata,Alola,False,Rattata (Alolan),[19],19&alola&!shadow
19,Rattata,Alola,True,Rattata (Alolan) (Shadow),[19],19&alola&shadow
19,Rattata,Normal,False,Rattata,[19],19&!alola&!shadow
19,Rattata,Normal,True,Rattata (Shadow),[19],19&!alola&shadow
20,Raticate,Alola,False,Raticate (Alolan),"[19, 20]","19,20&alola&!shadow"
20,Raticate,Alola,True,Raticate (Alolan) (Shadow),"[19, 20]","19,20&alola&shadow"
20,Raticate,Normal,False,Raticate,"[19, 20]","19,20&!alola&!shadow"
20,Raticate,Normal,True,Raticate (Shadow),"[19, 20]","19,20&!alola&shadow"
21,Spearow,Normal,False,Spearow,[21],21&!shadow
21,Spearow,Normal,True,Spearow (Shadow),[21],21&shadow
22,Fearow,Normal,False,Fearow,"[21, 22]","21,22&!shadow"
22,Fearow,Normal,True,Fearow (Shadow),"[21, 22]","21,22&shadow"
23,Ekans,Normal,False,Ekans,[23],23&!shadow
23,Ekans,Normal,True,Ekans (Shadow),[23],23&shadow
24,Arbok,Normal,False,Arbok,"[23, 24]","23,24&!shadow"
24,Arbok,Normal,True,Arbok (Shadow),"[23, 24]","23,24&shadow"
25,Pikachu,Normal,False,Pikachu,"[25, 172]","25,172&!shadow"
25,Pikachu,Normal,True,Pikachu (Shadow),"[25, 172]","25,172&shadow"
26,Raichu,Alola,False,Raichu (Alolan),"[25, 26]","25,26&alola&!shadow"
26,Raichu,Alola,True,Raichu (Alolan) (Shadow),"[25, 26]","25,26&alola&shadow"
26,Raichu,Normal,False,Raichu,"[25, 26, 172]","25,26,172&!alola&!shadow"
26,Raichu,Normal,True,Raichu (Shadow),"[25, 26, 172]","25,26,172&!alola&shadow"
27,Sandshrew,Alola,False,Sandshrew (Alolan),[27],27&alola&!shadow
27,Sandshrew,Alola,True,Sandshrew (Alolan) (Shadow),[27],27&alola&shadow
27,Sandshrew,Normal,False,Sandshrew,[27],27&!alola&!shadow
27,Sandshrew,Normal,True,Sandshrew (Shadow),[27],27&!alola&shadow
28,Sandslash,Alola,False,Sandslash (Alolan),"[27, 28]","27,28&alola&!shadow"
28,Sandslash,Alola,True,Sandslash (Alolan) (Shadow),"[27, 28]","27,28&alola&shadow"
28,Sandslash,Normal,False,Sandslash,"[27, 28]","27,28&!alola&!shadow"
28,Sandslash,Normal,True,Sandslash (Shadow),"[27, 28]","27,28&!alola&shadow"
29,Nidoran♀,Normal,False,Nidoran Female,[29],29&!shadow
29,Nidoran♀,Normal,True,Nidoran Female (Shadow),[29],29&shadow
30,Nidorina,Normal,False,Nidorina,"[29, 30]","29,30&!shadow"
30,Nidorina,Normal,True,Nidorina (Shadow),"[29, 30]","29,30&shadow"
31,Nidoqueen,Normal,False,Nidoqueen,"[29, 30, 31]","29,30,31&!shadow"
31,Nidoqueen,Normal,True,Nidoqueen (Shadow),"[29, 30, 31]","29,30,31&shadow"
32,Nidoran♂,Normal,False,Nidoran Male,[32],32&!shadow
