Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Bronzor,98.3,436,steel,psychic,37.7,134.9,130,661560,42.5,499,Tackle,Heavy Slam,Payback,17,20,3,50000
Wynaut,89.3,360,psychic,none,39.4,84.6,191,636410,49.5,500,Counter,Mirror Coat,,8,0,3,10000
Seel,87.7,86,water,none,53.8,80.4,107,463322,20.5,500,Lick,Aqua Tail,Icy Wind,12,15,3,50000
Zigzagoon (Galarian),87.7,263,dark,normal,53.8,79.8,108,463656,50,500,Tackle,Body Slam,Dig,14,17,1,10000
Vullaby,87.6,629,dark,flying,57.3,78.4,97,435774,15.5,500,Feint Attack,Brave Bird,Foul Play,10,7,5,75000
Ducklett,87.4,580,water,flying,56.4,71.1,110,441005,23,499,Wing Attack,Bubble Beam,Brave Bird,7,7,3,50000
Gligar,87.1,207,ground,flying,63,83.7,75,394972,10,499,Wing Attack,Aerial Ace,Dig,6,7,5,75000
Lickitung,86.5,108,normal,none,55.5,74.6,108,446945,13.5,499,Lick,Body Slam*,Power Whip,14,17,3,50000
Deino,84.7,633,dark,dragon,68.9,62.1,85,363671,18.5,500,Dragon Breath,Body Slam,Crunch,10,12,5,75000
Wooper (Shadow),84.3,194,water,ground,59.2,60,119,422775,33,500,Mud Shot,Body Slam,Mud Bomb,5,5,3,50000
Wooper,84.2,194,water,ground,59.2,60,119,422775,33,500,Mud Shot,Body Slam,Mud Bomb,5,5,3,50000
Barboach (Shadow),83.8,339,water,ground,63.5,62.8,98,390844,24,500,Mud Shot,Mud Bomb,Aqua Tail,5,4,1,10000
Stunky (Shadow),82.8,434,poison,dark,67.8,57,94,363282,16.5,498,Bite,Crunch,Sludge Bomb,12,13,3,50000
Vulpix (Alolan),82.8,37,ice,none,62.7,77.1,82,395963,22,498,Powder Snow,Weather Ball (Ice),Dark Pulse,5,6,3,50000
Cubone (Shadow),82.1,104,ground,none,55.3,92.6,88,450677,19,500,Mud Slap,Bone Club,Dig,4,5,3,50000
Pawniard,81.6,624,dark,steel,77.1,61.7,68,323121,13,500,Fury Cutter,Night Slash,Iron Head,9,13,5,75000
Eevee,81.5,133,normal,none,61.8,72,91,404633,18,500,Quick Attack,Body Slam*,Dig,5,7,5,75000
Wooper (Paldean),81.3,194,poison,ground,59.2,60,119,422775,33,500,Poison Jab,Body Slam,Dig,6,8,3,50000
Ledyba (Shadow),80.6,165,bug,flying,53.7,91.9,94,464068,28,499,Bug Bite,Aerial Ace,Silver Wind,15,15,1,10000
Wailmer,80.1,320,water,none,67.4,39.5,139,370240,13,500,Water Gun,Body Slam,Scald,14,17,1,10000
Purrloin (Shadow),79.9,509,dark,none,68.8,59.4,89,363532,25.5,500,Sucker Punch,Night Slash,Dark Pulse,5,7,1,10000
Vulpix (Alolan) (Shadow),79.8,37,ice,none,62.7,77.1,82,395963,22,498,Powder Snow,Weather Ball (Ice),Dark Pulse,5,6,3,50000
Cubone,79.4,104,ground,none,55.3,92.6,88,450677,19,500,Mud Slap,Bone Club,Dig,4,5,3,50000
Dratini (Shadow),79.4,147,dragon,none,71.6,61.1,79,345926,19,498,Dragon Breath,Aqua Tail,Wrap,9,12,5,75000
Golett (Shadow),79.4,622,ground,ghost,70.5,57.2,88,354894,16,500,Mud Slap,Shadow Punch,Brick Break,4,4,5,75000
Greavard,79.4,971,ghost,none,64.1,69.9,87,389364,19,500,Lick,Psychic Fangs,Shadow Ball,12,17,3,50000
Drifloon (Shadow),79,425,ghost,flying,64.7,50.8,117,384020,16,499,Hex,Icy Wind,Shadow Ball,4,4,5,75000
Riolu,78.9,447,fighting,none,77.3,53.1,79,324101,19.5,500,Counter,Cross Chop,Blaze Kick,6,6,5,10000
