pokemon_id,pokemon_name,form
1,Bulbasaur,Fall_2019
1,Bulbasaur,Normal
2,Ivysaur,Normal
3,Venusaur,Copy_2019
3,Venusaur,Normal
4,Charmander,Fall_2019
4,Charmander,Normal
5,Charmeleon,Normal
6,Charizard,Copy_2019
6,Charizard,Normal
7,Squirtle,Fall_2019
7,Squirtle,Normal
8,Wartortle,Normal
9,Blastoise,Copy_2019
9,Blastoise,Normal
10,Caterpie,Normal
11,Metapod,Normal
12,Butterfree,Normal
13,Weedle,Normal
14,Kakuna,Normal
15,Beedrill,Normal
16,Pidgey,Normal
17,Pidgeotto,Normal
18,Pidgeot,Normal
19,Rattata,Alola
19,Rattata,Normal
20,Raticate,Alola
20,Raticate,Normal
21,Spearow,Normal
22,Fearow,Normal
23,Ekans,Normal
24,Arbok,Normal
25,Pikachu,Adventure_hat_2020
25,Pikachu,Copy_2019
25,Pikachu,Costume_2020
25,Pikachu,Diwali_2024
25,Pikachu,Doctor
25,Pikachu,Fall_2019
25,Pikachu,Flying_01
25,Pikachu,Flying_02
25,Pikachu,Flying_03
25,Pikachu,Flying_04
25,Pikachu,Flying_5th_anniv
25,Pikachu,Flying_okinawa
25,Pikachu,Gofest_2022
25,Pikachu,Gofest_2024_mtiara
25,Pikachu,Gofest_2024_stiara
25,Pikachu,Gofest_2025_goggles_blue
25,Pikachu,Gofest_2025_goggles_red
25,Pikachu,Gofest_2025_goggles_yellow
25,Pikachu,Gofest_2025_monocle_blue
25,Pikachu,Gofest_2025_monocle_red
25,Pikachu,Gofest_2025_monocle_yellow
25,Pikachu,Gotour_2024_a
25,Pikachu,Gotour_2024_a_02
25,Pikachu,Gotour_2024_b
25,Pikachu,Gotour_2024_b_02
25,Pikachu,Gotour_2025_a
25,Pikachu,Gotour_2025_a_02
25,Pikachu,Gotour_2025_b
25,Pikachu,Gotour_2025_b_02
25,Pikachu,Horizons
25,Pikachu,Jeju
25,Pikachu,Kariyushi
25,Pikachu,Kurta
25,Pikachu,Normal
25,Pikachu,Pop_star
25,Pikachu,Rock_star
25,Pikachu,Summer_2023_a
25,Pikachu,Summer_2023_b
25,Pikachu,Summer_2023_c
25,Pikachu,Summer_2023_d
25,Pikachu,Summer_2023_e
25,Pikachu,Tshirt_01
25,Pikachu,Tshirt_02
25,Pikachu,Tshirt_03
25,Pikachu,Vs_2019
25,Pikachu,Wcs_2022
25,Pikachu,Wcs_2023
25,Pikachu,Wcs_2024
25,Pikachu,Wcs_2025
25,Pikachu,Winter_2020
26,Raichu,Alola
26,Raichu,Normal
27,Sandshrew,Alola
27,Sandshrew,Normal
28,Sandslash,Alola
28,Sandslash,Normal
29,Nidoran♀,Normal
30,Nidorina,Normal
31,Nidoqueen,Normal
32,Nidoran♂,Normal
33,Nidorino,Normal
34,Nidoking,Normal
35,Clefairy,Normal
36,Clefable,Normal
37,Vulpix,Alola
37,Vulpix,Normal
38,Ninetales,Alola
38,Ninetales,Normal
39,Jigglypuff,Normal
40,Wigglytuff,Normal
41,Zubat,Normal
42,Golbat,Normal
43,Oddish,Normal
44,Gloom,Normal
45,Vileplume,Normal
46,Paras,Normal
47,Parasect,Normal
48,Venonat,Normal
49,Venomoth,Normal
50,Diglett,Alola
50,Diglett,Normal
51,Dugtrio,Alola
51,Dugtrio,Normal
52,Meowth,Alola
52,Meowth,Galarian
52,Meowth,Normal
53,Persian,Alola
53,Persian,Normal
54,Psyduck,Normal
54,Psyduck,Swim_2025
55,Golduck,Normal
56,Mankey,Normal
57,Primeape,Normal
58,Growlithe,Hisuian
58,Growlithe,Normal
59,Arcanine,Hisuian
59,Arcanine,Normal
60,Poliwag,Normal
61,Poliwhirl,Normal
62,Poliwrath,Normal
63,Abra,Normal
64,Kadabra,Normal
65,Alakazam,Normal
66,Machop,Normal
67,Machoke,Normal
68,Machamp,Normal
69,Bellsprout,Normal
70,Weepinbell,Normal
71,Victreebel,Normal
72,Tentacool,Normal
73,Tentacruel,Normal
74,Geodude,Alola
74,Geodude,Normal
75,Graveler,Alola
75,Graveler,Normal
76,Golem,Alola
76,Golem,Normal
77,Ponyta,Galarian
77,Ponyta,Normal
78,Rapidash,Galarian
78,Rapidash,Normal
79,Slowpoke,2020
79,Slowpoke,Galarian
79,Slowpoke,Normal
80,Slowbro,2021
80,Slowbro,Galarian
80,Slowbro,Normal
81,Magnemite,Normal
82,Magneton,Normal
83,Farfetch’d,Galarian
83,Farfetch’d,Normal
84,Doduo,Normal
85,Dodrio,Normal
86,Seel,Normal
87,Dewgong,Normal
88,Grimer,Alola
88,Grimer,Normal
89,Muk,Alola
89,Muk,Normal
90,Shellder,Normal
91,Cloyster,Normal
92,Gastly,Normal
93,Haunter,Normal
94,Gengar,Costume_2020
94,Gengar,Normal
95,Onix,Normal
96,Drowzee,Normal
97,Hypno,Normal
98,Krabby,Normal
99,Kingler,Normal
100,Voltorb,Hisuian
100,Voltorb,Normal
101,Electrode,Hisuian
101,Electrode,Normal
102,Exeggcute,Normal
103,Exeggutor,Alola
103,Exeggutor,Normal
104,Cubone,Normal
105,Marowak,Alola
105,Marowak,Normal
106,Hitmonlee,Normal
107,Hitmonchan,Normal
108,Lickitung,Normal
109,Koffing,Normal
110,Weezing,Galarian
110,Weezing,Normal
111,Rhyhorn,Normal
112,Rhydon,Normal
113,Chansey,Normal
114,Tangela,Normal
115,Kangaskhan,Normal
116,Horsea,Normal
117,Seadra,Normal
118,Goldeen,Normal
119,Seaking,Normal
120,Staryu,Normal
121,Starmie,Normal
122,Mr. Mime,Galarian
122,Mr. Mime,Normal
123,Scyther,Normal
124,Jynx,Normal
125,Electabuzz,Normal
126,Magmar,Normal
127,Pinsir,Normal
128,Tauros,Normal
128,Tauros,Paldea_aqua
128,Tauros,Paldea_blaze
128,Tauros,Paldea_combat
129,Magikarp,Normal
130,Gyarados,Normal
131,Lapras,Costume_2020
131,Lapras,Normal
132,Ditto,Normal
133,Eevee,Gofest_2024_mtiara
133,Eevee,Gofest_2024_stiara
